"","number","contractName","name","address","banking","bonus","status","lastUpdate","connected","overflow","shape","position.latitude","position.longitude","totalStands.capacity","totalStands.availabilities.bikes","totalStands.availabilities.stands","totalStands.availabilities.mechanicalBikes","totalStands.availabilities.electricalBikes","totalStands.availabilities.electricalInternalBatteryBikes","totalStands.availabilities.electricalRemovableBatteryBikes","mainStands.capacity","mainStands.availabilities.bikes","mainStands.availabilities.stands","mainStands.availabilities.mechanicalBikes","mainStands.availabilities.electricalBikes","mainStands.availabilities.electricalInternalBatteryBikes","mainStands.availabilities.electricalRemovableBatteryBikes","overflowStands.capacity","overflowStands.availabilities.bikes","overflowStands.availabilities.stands","overflowStands.availabilities.mechanicalBikes","overflowStands.availabilities.electricalBikes","overflowStands.availabilities.electricalInternalBatteryBikes","overflowStands.availabilities.electricalRemovableBatteryBikes","region"
"59",2016,"lyon","2016 - PLACE REGAUD","Angle rue Tupin / rue Herriot",TRUE,FALSE,"OPEN","2023-10-06T11:48:38Z",TRUE,FALSE,NA,45.763065,4.83425,12,0,12,0,0,0,0,12,0,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69002"
"60",3080,"lyon","3080 - PART-DIEU / VILLETTE","55 RUE DE LA VILLETTE",TRUE,FALSE,"OPEN","2023-10-06T11:47:50Z",TRUE,FALSE,NA,45.760042,4.861734,30,16,13,5,12,0,12,30,16,13,5,12,0,12,NA,NA,NA,NA,NA,NA,NA,"69100"
"61",5029,"lyon","5029 - PLACE GERSON","Prox. Quai Pierre Scize",FALSE,FALSE,"OPEN","2023-10-06T11:45:27Z",TRUE,FALSE,NA,45.767057,4.827014,20,8,12,5,3,0,3,20,8,12,5,3,0,3,NA,NA,NA,NA,NA,NA,NA," 69005"
"62",2004,"lyon","2004 - PERRACHE / CARNOT","16 PLACE CARNOT",TRUE,FALSE,"OPEN","2023-10-06T11:49:52Z",TRUE,FALSE,NA,45.750116,4.82801,18,18,0,9,9,0,9,18,18,0,9,9,0,9,NA,NA,NA,NA,NA,NA,NA,"69250"
"63",14001,"lyon","14001 - BRON - CENTRE NAUTIQUE","",FALSE,FALSE,"OPEN","2023-10-06T11:41:55Z",TRUE,FALSE,NA,45.742932,4.90863,13,2,11,1,1,0,1,13,2,11,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69003"
"64",7009,"lyon","7009 - JEAN JAURÈS","174–180 Avenue Jean Jaurès 69007 Lyon",TRUE,FALSE,"OPEN","2023-10-06T11:49:37Z",TRUE,FALSE,NA,45.737503,4.837484,16,7,9,6,1,0,1,16,7,9,6,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69008"
"65",7045,"lyon","7045 - PARC DES BERGES","40 AV. LECLERC",TRUE,FALSE,"OPEN","2023-10-06T11:49:16Z",TRUE,FALSE,NA,45.737745,4.824495,25,3,22,1,2,0,2,25,3,22,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,"69002"
"66",3101,"lyon","3101 - PATINOIRE BARABAN","55 RUE DE BARABAN",TRUE,FALSE,"OPEN","2023-10-06T11:46:09Z",TRUE,FALSE,NA,45.762055,4.868486,20,4,16,4,0,0,0,20,4,16,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69001"
"67",4021,"lyon","4021 - TABAREAU","Angle Bvd de la Croix-Rousse",FALSE,TRUE,"OPEN","2023-10-06T11:43:45Z",TRUE,FALSE,NA,45.774061,4.82516,10,0,10,0,0,0,0,10,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69004"
"68",3103,"lyon","3103 - PLACE DANTON","3 PLACE DANTON",TRUE,FALSE,"OPEN","2023-10-06T11:49:24Z",TRUE,FALSE,NA,45.7548502313005,4.85748756866509,18,7,11,6,1,0,1,18,7,11,6,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69120"
